Nombre,w,TCK,PCBAR,ZC,VCCMOL
Methane,0.012,190.6,45.99,0.286,98.6
Ethane,0.1,305.3,48.72,0.279,145.5
Propane,0.152,369.8,42.48,0.276,200
n-Butane,0.2,425.1,37.96,0.274,255
n-Pentane,0.252,469.7,33.7,0.27,313
n-Hexane,0.301,507.6,30.25,0.266,371
n-Heptane,0.35,540.2,27.4,0.261,428
n-Octane,0.4,568.7,24.9,0.256,486
n-Nonane,0.444,594.6,22.9,0.252,544
n-Decane,0.492,617.7,21.1,0.247,600
Isobutane,0.181,408.1,36.48,0.282,262.7
Isooctane,0.302,544,25.68,0.266,468
Cyclopentane,0.196,511.8,45.02,0.273,258
Cyclohexane,0.21,553.6,40.73,0.273,308
Methylcyclopentane,0.23,532.8,37.85,0.272,319
Methylcyclohexane,0.235,572.2,34.71,0.269,368
Ethylene,0.087,282.3,50.4,0.281,131
Propylene,0.14,365.6,46.65,0.289,188.4
1-Butene,0.191,420,40.43,0.277,239.3
cis-2-Butene,0.205,435.6,42.43,0.273,233.8
trans-2-Butene,0.218,428.6,41,0.275,237.7
1-Hexene,0.28,504,31.4,0.265,354
Isobutylene,0.194,417.9,40,0.275,238.9
"1,3-Butadiene",0.19,425.2,42.77,0.267,220.4
Cyclohexene,0.212,560.4,43.5,0.272,291
Acetylene,0.187,308.3,61.39,0.271,113
Benzene,0.21,562.2,48.98,0.271,259
Toluene,0.262,591.8,41.06,0.264,316
Ethylbenzene,0.303,617.2,36.06,0.263,374
Cumene,0.326,631.1,32.09,0.261,427
o-Xylene,0.31,630.3,37.34,0.263,369
m-Xylene,0.326,617.1,35.36,0.259,376
p-Xylene,0.322,616.2,35.11,0.26,379
Styrene,0.297,636,38.4,0.256,352
Naphthalene,0.302,748.4,40.51,0.269,413
Biphenyl,0.365,789.3,38.5,0.295,502
Formaldehyde,0.282,408,65.9,0.223,115
Acetaldehyde,0.291,466,55.5,0.221,154
Methyl acetate,0.331,506.6,47.5,0.257,228
Ethyl acetate,0.366,523.3,38.8,0.255,286
Acetone,0.307,508.2,47.01,0.233,209
Methyl ethyl ketone,0.323,535.5,41.5,0.249,267
Diethyl ether,0.281,466.7,36.4,0.263,280
Methyl t-butyl ether,0.266,497.1,34.3,0.273,329
Methanol,0.564,512.6,80.97,0.224,118
Ethanol,0.645,513.9,61.48,0.24,167
1-Propanol,0.622,536.8,51.75,0.254,219
1-Butanol,0.594,563.1,44.23,0.26,275
1-Hexanol,0.579,611.4,35.1,0.263,381
2-Propanol,0.668,508.3,47.62,0.248,220
Phenol,0.444,694.3,61.3,0.243,229
Ethylene glycol,0.487,719.7,77,0.246,191
Acetic acid,0.467,592,57.86,0.211,179.7
n-Butyric acid,0.681,615.7,40.64,0.232,291.7
Benzoic acid,0.603,751,44.7,0.246,344
Acetonitrile,0.338,545.5,48.3,0.184,173
Methylamine,0.281,430.1,74.6,0.321,154
Ethylamine,0.285,456.2,56.2,0.307,207
Nitromethane,0.348,588.2,63.1,0.223,173
Carbon tetrachloride,0.193,556.4,45.6,0.272,276
Chloroform,0.222,536.4,54.72,0.293,239
Dichloromethane,0.199,510,60.8,0.265,185
Methyl chloride,0.153,416.3,66.8,0.276,143
Ethyl chloride,0.19,460.4,52.7,0.275,200
Chlorobenzene,0.25,632.4,45.2,0.265,308
Tetrafluoroethane,0.327,374.2,40.6,0.258,198
Argon,0,150.9,48.98,0.291,74.6
Krypton,0,209.4,55.02,0.288,91.2
Xenon,0,289.7,58.4,0.286,118
Helium 4,-0.39,5.2,2.28,0.302,57.3
Hydrogen,-0.216,33.19,13.13,0.305,64.1
Oxygen,0.022,154.6,50.43,0.288,73.4
Nitrogen,0.038,126.2,34,0.289,89.2
Airâ€ ,0.035,132.2,37.45,0.289,84.8
Chlorine,0.069,417.2,77.1,0.265,124
Carbon monoxide,0.048,132.9,34.99,0.299,93.4
Carbon dioxide,0.224,304.2,73.83,0.274,94
Carbon disulfide,0.111,552,79,0.275,160
Hydrogen sulfide,0.094,373.5,89.63,0.284,98.5
Sulfur dioxide,0.245,430.8,78.84,0.269,122
Sulfur trioxide,0.424,490.9,82.1,0.255,127
Nitric oxide (NO),0.583,180.2,64.8,0.251,58
Nitrous oxide (N2O),0.141,309.6,72.45,0.274,97.4
Hydrogen chloride,0.132,324.7,83.1,0.249,81
Hydrogen cyanide,0.41,456.7,53.9,0.197,139
Water,0.345,647.1,220.55,0.229,55.9
Ammonia,0.253,405.7,112.8,0.242,72.5
Nitric acid,0.714,520,68.9,0.231,145
,,,,,
